   Count  Suspect
       4        0   {nun}
       2        0   {nwe}
       2        0   {nze}
       2        0   {när}
       2        0   {o 1}
       2        0   {obe}
       2        0   {ode}
       2        0   {off}
       4        0   {oho}
       2        0   {ol-}
       2        0   {old}
       2        0   {olf}
       6        0   {olt}
       2        0   {om }
       2        0   {om.}
       2        0   {omm}
       2        0   {on }
       2        0   {onä}
       2        0   {ord}
       6        0   {orf}
       2        0   {orr}
       8        0   {ors}
       2        0   {ort}
       2        0   {oti}
       2        0   {ott}
       2        0   {oßa}
       2        0   {oßs}
       8        0   {pit}
       6        0   {r<\n>(}
       2        0   {r<\n>S}
       2        0   {r<\n>V}
      10        0   {r (}
       4        0   {r 1}
       2        0   {r D}
       2        0   {r G}
       2        0   {r R}
       2        0   {r- }
       6        0   {r.<\n>}
      10        0   {r. }
       2        0   {r.d}
       2        0   {r.j}
       4        0   {r:<\n>}
       2        0   {r:K}
       6        0   {r;<\n>}
       2        0   {rab}
       2        0   {rac}
       4        0   {rag}
       2        0   {rat}
       4        0   {rau}
       2        0   {raß}
       2        0   {rba}
       2        0   {rbe}
       2        0   {rbr}
       6        0   {rch}
       4        0   {rde}
       2        0   {rdn}
       2        0   {rdu}
       2        0   {re,}
       6        0   {rec}
       8        0   {rei}
       2        0   {rem}
       2        0   {res}
       2        0   {ret}
       2        0   {rev}
       4        0   {rf }
       2        0   {rf,}
       2        0   {rfo}
       2        0   {rgä}
       2        0   {rhe}
       2        0   {ria}
       2        0   {rie}
       2        0   {rig}
       2        0   {rja}
       2        0   {rl }
       2        0   {rlu}
       2        0   {rma}
       2        0   {rmi}
       4        0   {rmö}
       2        0   {rn }
       2        0   {rne}
       2        0   {rno}
       2        0   {rnr}
       2        0   {roß}
       2        0   {rrä}
       2        0   {rs }
       2        0   {rs,}
       6        0   {rs.}
       4        0   {rse}
       4        0   {rst}
       2        0   {rt }
       2        0   {rt.}
       2        0   {rti}
       8        0   {rtr}
       2        0   {rud}
       2        0   {ruf}
       8        0   {run}
       2        0   {rve}
       2        0   {rx,}
       2        0   {rzb}
       2        0   {rze}
       4        0   {rän}
       2        0   {rät}
       2        0   {rün}
       2        0   {s 1}
       2        0   {s G}
       2        0   {s L}
       4        0   {s d}
       2        0   {s f}
       2        0   {s w}
       2        0   {s, }
       2        0   {s.<\n>}
       6        0   {s.;}
      16        0   {sch}
       2        0   {se,}
       2        0   {se:}
      10        0   {sel}
       2        0   {sen}
       2        0   {ser}
       2        0   {set}
       2        0   {sge}
       4        0   {sic}
       2        0   {sin}
       4        0   {sja}
       2        0   {ska}
       2        0   {sla}
       2        0   {snr}
       2        0   {sra}
       8        0   {sse}
       2        0   {sst}
       2        0   {st-}
       2        0   {sta}
      32        0   {ste}
      14        0   {stf}
       2        0   {sto}
       2        0   {str}
       2        0   {t K}
       2        0   {t d}
       2        0   {t).}
       2        0   {t-<\n>}
       2        0   {t.<\n>}
       6        0   {t. }
       2        0   {t.-}
       6        0   {t:<\n>}
       8        0   {tal}
       4        0   {tam}
       2        0   {tan}
       4        0   {te }
       2        0   {te-}
       2        0   {te.}
       2        0   {tei}
       8        0   {tel}
      34        0   {ter}
       2        0   {teu}
      14        0   {tf.}
       2        0   {tfr}
      12        0   {tie}
       2        0   {tig}
       6        0   {tim}
       2        0   {tin}
       2        0   {tio}
       2        0   {tiz}
       2        0   {tl.}
       2        0   {tla}
       4        0   {tli}
       4        0   {tma}
       2        0   {tne}
       2        0   {toß}
       6        0   {tra}
       4        0   {tre}
       2        0   {tru}
       4        0   {trä}
       2        0   {tsg}
       4        0   {tsj}
       2        0   {tsk}
       2        0   {tsl}
       2        0   {tsr}
       2        0   {tte}
       2        0   {ttf}
       2        0   {ttl}
       2        0   {tz:}
       2        0   {tzu}
       2        0   {tüc}
       2        0   {u G}
       2        0   {u M}
       3        0   {u j}
       2        0   {uch}
       2        0   {ud }
       2        0   {uer}
       8        0   {uf }
       2        0   {uf:}
       2        0   {ufs}
       2        0   {ufv}
       2        0   {uge}
       2        0   {ugt}
       1        0   {uje}
       2        0   {ult}
       2        0   {um }
      10        0   {und}
      18        0   {ung}
       2        0   {unt}
       2        0   {ur }
       2        0   {ur.}
       6        0   {urc}
       4        0   {urs}
       4        0   {us }
       2        0   {uss}
       2        0   {ust}
       2        0   {uß }
       2        0   {v. }
       2        0   {v.1}
       2        0   {v.S}
       2        0   {van}
       2        0   {ven}
       8        0   {ver}
       2        0   {vid}
       2        0   {vom}
       2        0   {von}
       4        0   {wer}
       4        0   {win}
       2        0   {x, }
       4        0   {z: }
       2        0   {zba}
       2        0   {zen}
       2        0   {zeu}
       3        0   {zu }
       1        0   {zuj}
       2        0   {zun}
       2        0   {ß v}
       2        0   {ßak}
       2        0   {ße }
       2        0   {ßst}
       6        0   {äft}
       2        0   {ält}
       2        0   {ämt}
       4        0   {änk}
       2        0   {är:}
       2        0   {äri}
       2        0   {äte}
       2        0   {äti}
       4        0   {öge}
       2        0   {öhm}
       2        0   {öhn}
       2        0   {örs}
       2        0   {übe}
       2        0   {ück}
       2        0   {ünd}
      24        0   {üns}
       2        0   {ür }
       6        0   {üss}
    4084        0   Total


   Count  Suspect
      34        0   {ter}
      32        0   {ste}
      28        0   {195}
      24        0   { Mü}
      24        0   {Mün}
      24        0   {nst}
      24        0   {üns}
      22        0   { 2 }
      22        0   {en }
      20        0   {, M}
      18        0   {ung}
      17        0   { 19}
      16        0   { %<\n>}
      16        0   { DM}
      16        0   {00.}
      16        0   {ien}
      16        0   {sch}
      14        0   { 00}
      14        0   { Ge}
      14        0   {(We}
      14        0   {000}
      14        0   {DM }
      14        0   {Wes}
      14        0   {er }
      14        0   {est}
      14        0   {f.)}
      14        0   {kti}
      14        0   {stf}
      14        0   {tf.}
      12        0   { 1 }
